Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Toyota Auris;Toyota;Auris;2008;Septembris;1,6;Benzīns;Automāts 5 ātrumi;Sudrabametālika;Hečbeks;3500;189000
Toyota RAV 4;Toyota;RAV 4;2005;Septembris;1,8;Benzīns;Manuāla 5 ātrumi;Sudrabametālika;Apvidus;3500;122800
Kia Sportage;Kia;Sportage;2008;Janvāris;2;Benzīns;Manuāla 5 ātrumi;Melna;Apvidus;3500;165000
Hyundai Tucson;Hyundai;Tucson;2006;Jūnijs;2;Benzīns/Gāze;Manuāla;Zaļametālika;Apvidus;3500;210100
Hyundai Santa FE;Hyundai;Santa FE;2007;Jūnijs;2,2;Dīzelis;Manuāla 5 ātrumi;Sudraba;Apvidus;3500;330000
Nissan X-Trail;Nissan;X-Trail;2007;Augusts;2;Dīzelis;Automāts 6 ātrumi;Brūna;Apvidus;3500;472807
Nissan X-Trail;Nissan;X-Trail;2005;Jūlijs;2,2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Apvidus;3500;292077
Nissan X-Trail;Nissan;X-Trail;2005;Jūnijs;2,2;Dīzelis;Manuāla 6 ātrumi;Melna;Apvidus;3500;259978
Nissan Pathfinder;Nissan;Pathfinder;2007;;2,5;Dīzelis;Automāts;Melna;Apvidus;3500;153000
Citroen Berlingo;Citroen;Berlingo;2009;Maijs;1,6;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Minivens;3500;200000
Citroen C5;Citroen;C5;2011;Jūlijs;1,6;Dīzelis;Automāts;Balta;Sedans;3500;300000
Hyundai i20;Hyundai;i20;2014;Jūnijs;1,1;Dīzelis;Manuāla 5 ātrumi;Sudraba;Hečbeks;3500;181000
Hyundai i20;Hyundai;i20;2016;Oktobris;1,1;Dīzelis;Manuāla 6 ātrumi;Balta;Hečbeks;3500;292447
Suzuki Swift;Suzuki;Swift;2009;Decembris;1,3;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Hečbeks;3500;248650
Nissan Note;Nissan;Note;2011;;1,5;Dīzelis;Manuāla;Zila;Hečbeks;3500;189205
Hyundai i30;Hyundai;i30;2009;Aprīlis;1,6;Dīzelis;Automāts;Melna;Universāls;3500;219609
Porsche Boxster;Porsche;Boxster;2004;Janvāris;2,7;Benzīns;Manuāla 5 ātrumi;Sudraba;Kabriolets;3500;100000
Renault Grand Scenic;Renault;Grand Scenic;2011;Maijs;1,9;Dīzelis;Manuāla 6 ātrumi;Balta;Universāls;3500;554562
Nissan X-Trail;Nissan;X-Trail;2008;Septembris;2,2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Apvidus;3500;
Toyota Auris;Toyota;Auris;2007;;2;Dīzelis;Manuāla 6 ātrumi;Melna;Hečbeks;3500;
Hyundai H1;Hyundai;H1;2007;;2,5;Dīzelis;Manuāla 5 ātrumi;Sudraba;Minivens;3500;
Toyota Avensis;Toyota;Avensis;2008;;2;Benzīns;Manuāla;Sudraba;Universāls;3500;
Nissan Micra;Nissan;Micra;2012;;1,2;Benzīns;Manuāla;Sarkana;Hečbeks;3500;
Nissan Qashqai;Nissan;Qashqai;2007;Februāris;1,5;Dīzelis;Manuāla;Brūna;Apvidus;3495;293658
Kia Sorento;Kia;Sorento;2007;Marts;2,5;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Apvidus;3490;
Toyota Corolla Verso;Toyota;Corolla Verso;2006;;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēka;Minivens;3450;205000
Kia Sportage;Kia;Sportage;2008;Jūnijs;2;Dīzelis;Manuāla 6 ātrumi;Gaiši;Apvidus;3450;244000
Kia Sportage;Kia;Sportage;2007;Janvāris;2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Apvidus;3450;320845
Nissan X-Trail;Nissan;X-Trail;2006;Decembris;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;3450;216000
Citroen Berlingo;Citroen;Berlingo;2006;Decembris;1,6;Dīzelis;Manuāla 5 ātrumi;Zilametālika;Hečbeks;3450;240500
Citroen C4 Picasso;Citroen;C4 Picasso;2010;Decembris;2;Dīzelis;Automāts 6 ātrumi;Pelēkametālika;Minivens;3450;272000
Kia RIO;Kia;RIO;2014;;1,2;Dīzelis;Manuāla 6 ātrumi;Sudrabametālika;Hečbeks;3450;178000
Toyota IQ;Toyota;IQ;2010;;1;Benzīns;Manuāla 5 ātrumi;Sudraba;Hečbeks;3450;
Toyota Avensis;Toyota;Avensis;2008;Februāris;2;Dīzelis;Manuāla;Pelēka;Sedans;3450;259769
Toyota Corolla Verso;Toyota;Corolla Verso;2007;Februāris;2,2;Dīzelis;Manuāla 6 ātrumi;Zilametālika;Minivens;3450;242000
Toyota Avensis;Toyota;Avensis;2009;Janvāris;2;Benzīns/Gāze;Automāts 6 ātrumi;Melnametālika;Universāls;3400;388643
Toyota Corolla;Toyota;Corolla;2005;;1,6;Benzīns;Automāts;Melna;Hečbeks;3400;205000
Toyota Auris;Toyota;Auris;2009;Aprīlis;2;Dīzelis;Manuāla 6 ātrumi;Zila;Hečbeks;3400;309958
